"","NACE1","NACE2","NACE3","NACE4","NACE.code","turnover","employees","turnover.prev","employees.prev"
"486","E - Water supply; sewerage; waste managment and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","38.3 - Materials recovery","38.3.1 - Dismantling of wrecks","3831",284236.896999658,1153,445616.980050627,1535
"487","E - Water supply; sewerage; waste managment and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","38.3 - Materials recovery","38.3.2 - Recovery of sorted materials","3832",172234.868640992,665,220836.886782707,861
"490","E - Water supply; sewerage; waste managment and remediation activities","39 - Remediation activities and other waste management services","39.0 - Remediation activities and other waste management services","39.0.0 - Remediation activities and other waste management services","3900",49473.9751143113,371,71435.3708340587,506
"494","F - Construction","41 - Construction of buildings","41.1 - Development of building projects","41.1.0 - Development of building projects","4110",472269.842221363,3954.79302230702,626574.902628479,4385.45688570954
"496","F - Construction","41 - Construction of buildings","41.2 - Construction of residential and non-residential buildings","41.2.0 - Construction of residential and non-residential buildings","4120",3690324.40599602,21371,2688750.4994406,14505
"499","F - Construction","42 - Civil engineering","42.1 - Construction of roads and railways","42.1.1 - Construction of roads and motorways","4211",294462.521748482,1842,688055.294323268,4168
"502","F - Construction","42 - Civil engineering","42.1 - Construction of roads and railways","42.1.2 - Construction of railways and underground railways","4212",368872.890910291,1909,314695.409624824,1866
"503","F - Construction","42 - Civil engineering","42.1 - Construction of roads and railways","42.1.3 - Construction of bridges and tunnels","4213",397655.442809173,3202.9046182222,473593.354800409,3440.53899455687
"505","F - Construction","42 - Civil engineering","42.2 - Construction of utility projects","42.2.1 - Construction of utility projects for fluids","4221",500889.557182907,3884.56151027801,667655.403116615,4252.44292899687
"506","F - Construction","42 - Civil engineering","42.2 - Construction of utility projects","42.2.2 - Construction of utility projects for electricity and telecommunications","4222",441008.078149889,3548.51549482771,554661.842474864,3955.48326345538
"508","F - Construction","42 - Civil engineering","42.9 - Construction of other civil engineering projects","42.9.1 - Construction of water projects","4291",55113.3274870775,706,57079.3095652256,716
"509","F - Construction","42 - Civil engineering","42.9 - Construction of other civil engineering projects","42.9.9 - Construction of other civil engineering projects n.e.c.","4299",572181.571674021,3879,2775255.51252335,13936
"512","F - Construction","43 - Specialised construction activities","43.1 - Demolition and site preparation","43.1.1 - Demolition","4311",211545.452799628,2376,31920.121391161,356
"513","F - Construction","43 - Specialised construction activities","43.1 - Demolition and site preparation","43.1.2 - Site preparation","4312",445881.353393617,3435.90613100948,582911.673384155,4225.69125192409
"514","F - Construction","43 - Specialised construction activities","43.1 - Demolition and site preparation","43.1.3 - Test drilling and boring","4313",1256.36755194549,17,1473.74256698488,22
"516","F - Construction","43 - Specialised construction activities","43.2 - Electrical, plumbing and other construction installation activities","43.2.1 - Electrical installation","4321",747155.475789488,8642,776204.992500672,8222
"517","F - Construction","43 - Specialised construction activities","43.2 - Electrical, plumbing and other construction installation activities","43.2.2 - Plumbing, heat and air-conditioning installation","4322",797738.801376098,8415,957096.721794368,10926
"520","F - Construction","43 - Specialised construction activities","43.2 - Electrical, plumbing and other construction installation activities","43.2.9 - Other construction installation","4329",520726.576485867,7294,868012.602567159,8214
"522","F - Construction","43 - Specialised construction activities","43.3 - Building completion and finishing","43.3.1 - Plastering","4331",43203.8168207798,688,36088.7155740131,608
"523","F - Construction","43 - Specialised construction activities","43.3 - Building completion and finishing","43.3.2 - Joinery installation","4332",45351.2170324239,397,84676.5938656791,730
"524","F - Construction","43 - Specialised construction activities","43.3 - Building completion and finishing","43.3.3 - Floor and wall covering","4333",29163.5461348956,309,23918.8126468639,214
"525","F - Construction","43 - Specialised construction activities","43.3 - Building completion and finishing","43.3.4 - Painting and glazing","4334",185877.976515295,2586,179670.877149202,2625
"526","F - Construction","43 - Specialised construction activities","43.3 - Building completion and finishing","43.3.9 - Other building completion and finishing","4339",5361.59120721337,73,6181.99783636043,45
"528","F - Construction","43 - Specialised construction activities","43.9 - Other specialised construction activities","43.9.1 - Roofing activities","4391",30053.2190182287,320,28724.471353948,372
"529","F - Construction","43 - Specialised construction activities","43.9 - Other specialised construction activities","43.9.9 - Other specialised construction activities n.e.c.","4399",316573.895886878,4326,471347.087662141,4749
"537","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles","45.1 - Sale of motor vehicles","45.1.1 - Sale of cars and light motor vehicles","4511",836503.45172558,2724.97642348243,838790.446236037,2405.39897462012
"540","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles","45.1 - Sale of motor vehicles","45.1.9 - Sale of other motor vehicles","4519",4652440.12990113,8876,4381427.72431267,9501
"546","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles","45.2 - Maintenance and repair of motor vehicles","45.2.0 - Maintenance and repair of motor vehicles","4520",122115.142560827,1554,134644.505191109,1733
"553","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles","45.3 - Sale of motor vehicle parts and accessories","45.3.1 - Wholesale trade of motor vehicle parts and accessories","4531",645420.319824683,1242,906002.587800726,1940
"556","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles","45.3 - Sale of motor vehicle parts and accessories","45.3.2 - Retail trade of motor vehicle parts and accessories","4532",796514.113085518,2354.82093095263,773558.191700594,1909.50184464251
"558","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles","45.4 - Sale, maintenance and repair of motorcycles and related parts and accessories","45.4.0 - Sale, maintenance and repair of motorcycles and related parts and accessories","4540",401493.177025407,237,111683.321756804,112
"563","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.1 - Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods","4611",49856.4311815784,298,59767.5394716293,209
"564","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.2 - Agents involved in the sale of fuels, ores, metals and industrial chemicals","4612",26391.2781631044,70,26044.5800127934,144
"565","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.3 - Agents involved in the sale of timber and building materials","4613",5379.4856580815,51,7409.19036503823,29
"566","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.4 - Agents involved in the sale of machinery, industrial equipment, ships and aircraft","4614",143896.113578898,874,112837.500081858,888
"567","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.5 - Agents involved in the sale of furniture, household goods, hardware and ironmongery","4615",8670.16833704292,80,11657.9438789789,80
"568","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.6 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods","4616",57724.8105377627,274,35331.3734096489,193
"569","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.7 - Agents involved in the sale of food, beverages and tobacco","4617",79189.0434250068,57,172773.731195133,126
"570","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.8 - Agents specialised in the sale of other particular products","4618",47011.957007069,437,19806.5896889753,147
"571","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.1 - Wholesale on a fee or contract basis","46.1.9 - Agents involved in the sale of a variety of goods","4619",28894.9736582589,38,13058.4008620646,75
"573","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.2 - Wholesale of agricultural raw materials and live animals","46.2.1 - Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","4621",1881285.79249377,1925,2131229.51971913,1446
"583","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.2 - Wholesale of agricultural raw materials and live animals","46.2.2 - Wholesale of flowers and plants","4622",551770.433718182,1847,1162652.80528701,3129
"584","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.2 - Wholesale of agricultural raw materials and live animals","46.2.3 - Wholesale of live animals","4623",171790.967170043,148,103533.169284454,272
"587","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.2 - Wholesale of agricultural raw materials and live animals","46.2.4 - Wholesale of hides, skins and leather","4624",19243.6813070452,30,55556.3733285357,95
"591","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.1 - Wholesale of fruit and vegetables","4631",2131594.54292823,3814,678179.328552566,1263
"594","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.2 - Wholesale of meat and meat products","4632",369246.823194999,994,823261.424689956,2431
"595","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.3 - Wholesale of dairy products, eggs and edible oils and fats","4633",354359.529382412,652,572437.191948091,797
"598","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.4 - Wholesale of beverages","4634",1950033.67272578,1762,428532.31357127,501
"599","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.5 - Wholesale of tobacco products","4635",477959.579038537,250,2046264.09872569,1008
"600","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.6 - Wholesale of sugar and chocolate and sugar confectionery","4636",82530.9567144429,186,48929.3767848769,119
"601","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.7 - Wholesale of coffee, tea, cocoa and spices","4637",79598.5104252086,343,73231.2165695493,314
"602","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.8 - Wholesale of other food, including fish, crustaceans and molluscs","4638",925613.287048992,2558,921316.909481904,2093
"608","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.3 - Wholesale of food, beverages and tobacco","46.3.9 - Non-specialised wholesale of food, beverages and tobacco","4639",5243818.2177419,10142,2760069.5368611,5845
"610","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.1 - Wholesale of textiles","4641",38734.6169868822,108,116917.44770886,335
"613","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.2 - Wholesale of clothing and footwear","4642",1940520.53818952,3152,985388.386150665,2456
"620","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.3 - Wholesale of electrical household appliances","4643",620662.355579876,1429,1512890.80674608,1686
"627","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.4 - Wholesale of china and glassware and cleaning materials","4644",51918.5178757599,201,86418.2727826104,368
"630","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.5 - Wholesale of perfume and cosmetics","4645",207503.592318149,568,107036.685918425,368
"631","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.6 - Wholesale of pharmaceutical goods","4646",4499165.44684243,6499,3007031.02712699,3236
"634","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.7 - Wholesale of furniture, carpets and lighting equipment","4647",936041.645206325,3169,1044331.61864822,4167
"638","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.8 - Wholesale of watches and jewellery","4648",947088.426982216,2716.18203697864,932606.386739039,2423.06388440235
"639","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.4 - Wholesale of household goods","46.4.9 - Wholesale of other household goods","4649",1128475.33419002,1906,944486.999338517,1834
"650","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.5 - Wholesale of information and communication equipment","46.5.1 - Wholesale of computers, computer peripheral equipment and software","4651",5031191.49656453,6141,3967461.45646672,8289
"651","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.5 - Wholesale of information and communication equipment","46.5.2 - Wholesale of electronic and telecommunications equipment and parts","4652",1018927.47798036,3029,1726970.79068304,4409
"653","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.1 - Wholesale of agricultural machinery, equipment and supplies","4661",143635.315016357,638,133420.846296056,563
"654","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.2 - Wholesale of machine tools","4662",132332.73711598,724,95133.6239587229,397
"655","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.3 - Wholesale of mining, construction and civil engineering machinery","4663",386727.245440401,840,562921.962314728,1239
"656","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.4 - Wholesale of machinery for the textile industry and of sewing and knitting machines","4664",716.920305151185,11,960.667213048926,12
"657","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.5 - Wholesale of office furniture","4665",388540.23219658,1576,602313.819696095,2389
"658","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.6 - Wholesale of other office machinery and equipment","4666",869933.341451625,2092,388300.172269167,1320
"659","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","Wholesale of machinery for the printing and food and beverage industry","4668",3730880.43591387,14886,2985491.85356656,8705
"662","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.6 - Wholesale of other machinery, equipment and supplies","46.6.9 - Wholesale of other machinery and equipment","4669",1076941.86445393,2982.23665025183,1060146.43433673,3132.20662422582
"672","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.1 - Wholesale of solid, liquid and gaseous fuels and related products","4671",3381730.12985726,636,13626114.4589727,2206
"676","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.2 - Wholesale of metals and metal ores","4672",1171675.81413777,2070,612088.593974976,1047
"680","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.3 - Wholesale of wood, construction materials and sanitary equipment","4673",1833016.17388512,6080,2435000.7592012,8267
"690","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.4 - Wholesale of hardware, plumbing and heating equipment and supplies","4674",936666.82950011,4181,635201.545364913,2644
"693","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.5 - Wholesale of chemical products","4675",5209291.56485954,4511,3465474.65022545,3284
"696","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.6 - Wholesale of other intermediate products","4676",149882.036399887,293,527028.978305054,1423
"700","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.7 - Other specialised wholesale","46.7.7 - Wholesale of waste and scrap","4677",264343.985457091,292,919589.903686029,803
"705","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","46.9 - Non-specialised wholesale trade","46.9.0 - Non-specialised wholesale trade","4690",493535.623357592,1706,145279.765903634,526
"710","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.1 - Retail sale in non-specialised stores","47.1.1 - Retail sale in non-specialised stores with food, beverages or tobacco predominating","4711",7799439.38642597,51222,5253834.99631638,28410
"711","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.1 - Retail sale in non-specialised stores","47.1.9 - Other retail sale in non-specialised stores","4719",676459.922146407,7205,1150586.19812475,12026
"715","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.1 - Retail sale of fruit and vegetables in specialised stores","4721",11685.2232897404,101,9061.92792080476,108
"716","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.2 - Retail sale of meat and meat products in specialised stores","4722",6547.52367166509,85,48018.1144338806,315
"719","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.3 - Retail sale of fish, crustaceans and molluscs in specialised stores","4723",4343.71805445272,54,694.004122078364,14
"720","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.4 - Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores","4724",10086.7407163796,125,36966.6347034373,507
"723","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.5 - Retail sale of beverages in specialised stores","4725",207674.497742507,952,94238.2021332103,358
"724","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.6 - Retail sale of tobacco products in specialised stores","4726",1848.69556759343,12,1855.0702660623,9
"725","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.2 - Retail sale of food, beverages and tobacco in specialised stores","47.2.9 - Other retail sale of food in specialised stores","4729",21748.2972977626,149,19654.8547881829,91
"731","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.3 - Retail sale of automotive fuel in specialised stores","47.3.0 - Retail sale of automotive fuel in specialised stores","4730",676576.799907059,1157,900265.453460952,1905
"733","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.4 - Retail sale of information and communication equipment in specialised stores","47.4.1 - Retail sale of computers, peripheral units and software in specialised stores","4741",911462.759248011,2668.56180714217,904703.017786327,2373.25359128932
"734","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.4 - Retail sale of information and communication equipment in specialised stores","47.4.2 - Retail sale of telecommunications equipment in specialised stores","4742",1008564.4977535,3079.33019498379,1035282.95113926,2642.61161936715
"735","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.4 - Retail sale of information and communication equipment in specialised stores","47.4.3 - Retail sale of audio and video equipment in specialised stores","4743",882998.562119186,2665.7477542792,859220.15111765,2461.86243076791
"739","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.5 - Retail sale of other household equipment in specialised stores","47.5.1 - Retail sale of textiles in specialised stores","4751",1321.32987484921,20,2984.00923288805,38
"743","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.5 - Retail sale of other household equipment in specialised stores","47.5.2 - Retail sale of hardware, paints and glass in specialised stores","4752",182926.341078729,1308,224052.395924152,1528
"752","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.5 - Retail sale of other household equipment in specialised stores","47.5.3 - Retail sale of carpets, rugs, wall and floor coverings in specialised stores","4753",733893.131697532,2389.53529517279,714161.440102708,1822.4185014741
"753","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.5 - Retail sale of other household equipment in specialised stores","47.5.4 - Retail sale of electrical household appliances in specialised stores","4754",516967.952132496,2909,214352.441084657,1218
"758","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.5 - Retail sale of other household equipment in specialised stores","47.5.9 - Retail sale of furniture, lighting equipment and other household articles in specialised stores","4759",530236.511027606,4369,631309.068059437,5124
"767","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.6 - Retail sale of cultural and recreation goods in specialised stores","47.6.1 - Retail sale of books in specialised stores","4761",167851.157803138,855,48745.2188690327,263
"768","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.6 - Retail sale of cultural and recreation goods in specialised stores","47.6.2 - Retail sale of newspapers and stationery in specialised stores","4762",71446.4376341532,378,180309.129349882,828
"769","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.6 - Retail sale of cultural and recreation goods in specialised stores","47.6.3 - Retail sale of music and video recordings in specialised stores","4763",929522.238854793,2656.05793246303,997563.520512111,2446.78669131019
"770","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.6 - Retail sale of cultural and recreation goods in specialised stores","47.6.4 - Retail sale of sporting equipment in specialised stores","4764",924598.565521365,2798.29708985642,998878.910277913,2432.99500908002
"775","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.6 - Retail sale of cultural and recreation goods in specialised stores","47.6.5 - Retail sale of games and toys in specialised stores","4765",903368.210135213,2615.31721634404,929562.548498615,2233.65881788497
"777","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.1 - Retail sale of clothing in specialised stores","4771",501332.63307706,5094,1004589.502408,9436
"786","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.2 - Retail sale of footwear and leather goods in specialised stores","4772",335053.994971967,3620,138167.173535191,1607
"789","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.3 - Dispensing chemist in specialised stores","4773",571191.5931285,2986,1188345.15169424,6100
"790","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.4 - Retail sale of medical and orthopaedic goods in specialised stores","4774",934182.121943618,6990,613245.172823753,4267
"793","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.5 - Retail sale of cosmetic and toilet articles in specialised stores","4775",87263.0027816646,791,199809.609556562,1784
"794","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.6 - Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores","4776",539412.663360525,5148,334411.951739004,2505
"798","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.7 - Retail sale of watches and jewellery in specialised stores","4777",980976.743460946,3193.46396147201,997830.636157851,2474.69521351433
"799","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.8 - Other retail sale of new goods in specialised stores","4778",287291.23830808,2318,477060.05128278,4804
"804","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.7 - Retail sale of other goods in specialised stores","47.7.9 - Retail sale of second-hand goods in stores","4779",18128.8295143235,327,14200.501880311,298
"809","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.8 - Retail sale via stalls and markets","47.8.1 - Retail sale via stalls and markets of food, beverages and tobacco products","4781",7860.93547904794,54,6006.94826931326,41
"812","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.8 - Retail sale via stalls and markets","47.8.2 - Retail sale via stalls and markets of textiles, clothing and footwear","4782",1006281.74758538,2996.04447319946,1051093.0852534,2637.37913755695
"813","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.8 - Retail sale via stalls and markets","47.8.9 - Retail sale via stalls and markets of other goods","4789",947307.936691664,2771.19228676389,984997.599283944,2809.85981554624
"818","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.9 - Retail trade not in stores, stalls or markets","47.9.1 - Retail sale via mail order houses or via Internet","4791",494184.948839148,2339,422182.195513288,1505
